"","Hawaiian Name","Scientific Name","Vernacular Name"
"1","‘a‘ali‘i","Dodonaea viscosa","none"
"2","a‘e (Sapindus)","Sapindus saponaria","soapberry"
"3","a‘e (Zanthoxylem)","Zanthoxylum (4 species)","none"
"4","‘ahakea","Bobea (4 species)","none"
"5","‘āheahea","Chenopodium oahuense","none"
"6","‘ahu‘awa","Cyperus javanicus","sedge"
"7","aiea","Nothocestrum (4 species)","none"
"8","‘aka‘akai","Schoenoplectus lacustris","great bulrush"
"9","‘ākala","Rubus (2 species)","Hawaiian raspberry"
"10","‘ākia","Wikstroemia (12 species)","none"
"11","‘akoko","Chamaesyce (16 species)","spurge"
"12","‘aākōlea","Athyrium microphyllum","none"
"13","‘ākulikuli","Sesuvium portulacastrum","sea purslane"
"14","‘āla‘a","Pouteria sandwicensis","none"
"15","‘ala‘ala wai nui","Peperomia (24 species)","none"
"16","alahe‘e","Psydrax odorata","none"
"17","alani","Melicope (47 species)","none"
"18","ali‘ipoe","Canna indica","Indian-shot"
"19","aloalo","Hibiscus (4 species)","none"
"20","‘ama‘u","Sadleria cyatheoides","none"
"21","‘ape","Alocasia macrorrhizos","elephant's ear"
"22","‘auhuhu","Tephrosia purpurea","none"
"23","‘awa","Piper methysticum","kava"
"24","‘awapuhi","Zingiber zerumbet","shampoo ginger, wild ginger"
"25","‘āwikiwiki","Canavalia (6 species)","none"
"26","hala","Pandanus tectorius","screw pine"
"27","hala pepe","Pleomele (6 species)","none"
"28","hame","Antidesma (2 species)","none"
"29","hao","Rauvolfia sandwicensis","none"
"30","hāpu‘u","Cibotium (2 species)","tree fern"
"31","hau","Hibiscus tiliaceus","none"
"32","hinahina","Heliotropium anomalum var. argentea","heliotrope"
"33","hō‘awa","Pittosporum (11 species)","none"
"34","hoi","Dioscorea bulbifera","bitter yam, air potato"
"35","hōlei","Ochrosia (4 species)","none"
"36","‘ie‘ie","Freycinetia arborea","none"
"37","‘iliahi","Santalum (4 species)","sandalwood"
"38","‘ilie‘e","Plumbago zeylanica","leadwort"
"39","‘ilima","Sida fallax","none"
"40","ipu","Lagenaria siceraria","bottle gourd"
"41","kalia","Elaeocarpus bifidus","none"
"42","kalo","Colocasia esculenta","taro"
"43","kamani","Calophyllum inophyllum","Alexandrian laurel"
"44","kauila (Alphitonia)","Alphitonia ponderosa","none"
"45","kauila (Colubrina)","Colubrina oppositifolia","none"
"46","kauna‘oa","Cuscuta sandwichiana","dodder"
"47","kāwa‘u","Ilex anomala","Hawaiian holly"
"48","kāwelu","Eragrostis variabilis","none"
"49","kī","Cordyline fruticosa","ti"
"50","kī nehe","Bidens pilosa","Spanish needle, beggartick"
"51","kō","Saccharum officinarum","sugarcane"
"52","koa","Acacia koa","none"
"53","koai‘a","Acacia koaia","none"
"54","koali ‘ai","Ipomoea cairica","ivy-leaved morning glory"
"55","koali ‘awa","Ipomoea indica","none"
"56","kohekohe","Eleocharis (2 species)","none"
"57","koki‘o","Kokia & Hibiscus (5 species)","none"
"58","koki‘o ke‘oke‘o","Hibiscus arnottianus","none"
"59","kōlea","Myrsine (20 species)","none"
"60","kolokolo kuahiwi","Lysimachia (2 species)","none"
"61","kolomona","Senna gaudichaudii","none"
"62","ko‘oko‘olau","Bidens (19 species)","none"
"63","kōpiko","Psychotria (11 species)","none"
"64","kou","Cordia subcordata","none"
"65","kūkaenēnē,","Coprosma ernodeides","none"
"66","kūkaepua‘a","Digitaria setigera","itchy crabgrass"
"67","kukui","Aleurites moluccana","candlenut, tung tree"
"68","kupukupu","Nephrolepis cordifolia","sword fern"
"69","la‘amia","Cresentia cujete","calabash tree"
"70","lama","Diospyros (2 species)","persimmon, ebony"
"71","laua‘e","Phymatosorus grossus","maile-scented fern"
"72","laukahi kuahiwi","Plantago (3 species)","plantain"
"73","lehua papa","Metrosideros rugosa","none"
"74","loulu","Pritchardia (22 species)","native fan palm"
"75","ma‘aloa","Neraudia melastomifolia","none"
"76","mai‘a","Musa x paradisiaca","banana"
"77","mai‘a hē‘ī","Musa troglodytarum","banana (Tahiti)"
"78","maile","Alyxia stellata","none"
"79","makaloa","Cyperus laevigatus","umbrella sedge"
"80","māmaki","Pipturus (4 species)","none"
"81","māmane,","Sophora chrysophylla","none"
"82","manono","Kadua (3 species)","none"
"83","ma‘o (Abutilon)","Abutilon incanum","hoary abutilon"
"84","ma‘o (Gossypium)","Gossypium tomentosum","Hawaiian cotton"
"85","maua","Xylosma hawaiiense","none"
"86","mau‘u lāili","Sisyrinchium acre","none"
"87","mēhamehame","Flueggea neowawraea","none"
"88","milo","Thespesia populnea","portia tree"
"89","moa","Psilotum nudum","upright whisk fern"
"90","mokihana","Melicope anisata","none"
"91","na‘ena‘e","Dubautia (24 species)","none"
"92","naio","Myoporum sandwicense","false sandalwood, bastard sandalwood"
"93","nānū","Gardenia (3 species)","Hawaiian gardenia"
"94","naupaka kahakai","Scaevola taccada","beach naupaka"
"95","naupaka kuahiwi","Scaevola (9 species)","dwarf naupaka (S. coriacea"
"96","nehe","Lipochaeta & Melanthera (20 species)","none"
"97","nīoi","Eugenia (2 species)","none"
"98","niu","Cocos nucifera","coconut"
"99","noni","Morinda citrifolia","Indian mulberry"
"100","nuku ‘i‘iwi","Strongylodon ruber","none"
"101","‘ohai","Sesbania tomentosa","none"
"102","‘ōhā wai","Clermontia (22 species)","none"
"103","‘ohe","Schizostachyum glaucifolium","native bamboo, Polynesian bamboo"
"104","‘ōhelo","Vaccinium (3 species)","blueberry"
"105","‘ohe makai","Reynoldsia sandwicensis","none"
"106","‘ohe ‘ohe","Tetraplasandra (8 species)","none"
"107","‘ōhi‘a ‘ai","Syzygium malaccense","mountain apple, Malay apple"
"108","‘ōhi‘a hā","Syzygium sandwicensis","none"
"109","‘ōhi‘a lehua","Metrosideros (2 species)","none"
"110","‘ōkaha","Asplenium nidus","bird's nest fern"
"111","‘ōlapa","Cheirodendron (5 species)","none"
"112","‘ōolena","Curcuma longa","turmeric"
"113","olomea","Perrottetia sandwicensis","none"
"114","olonā","Touchardia latifolia","none"
"115","olopua","Nestegis sandwicensis","none"
"116","ūpuhe","Urera (2 species)","none"
"117","pā‘ihi","Rorippa sarmentosa","none"
"118","pa‘iniu","Astelia (3 species)","none"
"119","pala","Marattia douglasii","none"
"120","pala‘ā","Sphenomeris chinensis","lace fern"
"121","palapalai","Microlepia strigosa","lace fern"
"122","pāmoho","Nephrolepis exaltata subsp. hawaiiensis","sword fern"
"123","pāpala","Charpetiera (5 species)","none"
"124","pāpala kōpau","Pisonia (5 species)","none"
"125","pi‘ia","Dioscorea pentaphylla","pi‘a Hawai‘i, wild yam"
"126","pia or arrowroot","Tacca leontopetaloides","Polynesian arrowroot"
"127","pili","Heteropogon contortus","tanglehead, twisted beardgrass, pili grass"
"128","pilo","Coprosma (12 species)","none"
"129","pōhinahina","Vitex rotundifolia","beach vitex"
"130","pōhuehue","Ipomoea pes-caprae","beach morning glory"
"131","pōpolo","Solanum americanum","glossy nightshade"
"132","pōpolo kū mai","Phytolacca sandwicensis","pokeberry, pokeweed"
"133","pua kala","Argemone glauca","prickly poppy"
"134","pūkiawe","Leptecophylla tameiameiae","none"
"135","‘uala","Ipomoea batatas","sweet potato"
"136","‘uhaloa","Waltheria indica","none"
"137","uhi","Dioscorea alata","yam"
"138","uhiuhi","Caesalpinia kavaiensis","none"
"139","‘uki","Machaerina (2 species)","none"
"140","‘uki‘uki","Dianella sandwicensis","none"
"141","‘ūlei","Osteomeles anthyllidifolia","none"
"142","‘ulu","Artocarpus altilis","breadfruit"
"143","uluhe","Dicranopteris linearis","false staghorn fern"
"144","wauke","Broussonetia papyrifera","paper mulberry"
"145","wiliwili","Erythrina sandwicensis","none"
