"Hawaiian Name","Scientific Name","Vernacular Name"
"‘a‘ali‘i","Dodonaea viscosa","none"
"a‘e (Sapindus)","Sapindus saponaria","soapberry"
"a‘e (Zanthoxylem)","Zanthoxylum (4 species)","none"
"‘ahakea","Bobea (4 species)","none"
"‘āheahea","Chenopodium oahuense","none"
"‘ahu‘awa","Cyperus javanicus","sedge"
"aiea","Nothocestrum (4 species)","none"
"‘aka‘akai","Schoenoplectus lacustris","great bulrush"
"‘ākala","Rubus (2 species)","Hawaiian raspberry"
"‘ākia","Wikstroemia (12 species)","none"
"‘akoko","Chamaesyce (16 species)","spurge"
"‘aākōlea","Athyrium microphyllum","none"
"‘ākulikuli","Sesuvium portulacastrum","sea purslane"
"‘āla‘a","Pouteria sandwicensis","none"
"‘ala‘ala wai nui","Peperomia (24 species)","none"
"alahe‘e","Psydrax odorata","none"
"alani","Melicope (47 species)","none"
"ali‘ipoe","Canna indica","Indian-shot"
"aloalo","Hibiscus (4 species)","none"
"‘ama‘u","Sadleria cyatheoides","none"
"‘ape","Alocasia macrorrhizos","elephant's ear"
"‘auhuhu","Tephrosia purpurea","none"
"‘awa","Piper methysticum","kava"
"‘awapuhi","Zingiber zerumbet","shampoo ginger, wild ginger"
"‘āwikiwiki","Canavalia (6 species)","none"
"hala","Pandanus tectorius","screw pine"
"hala pepe","Pleomele (6 species)","none"
"hame","Antidesma (2 species)","none"
"hao","Rauvolfia sandwicensis","none"
"hāpu‘u","Cibotium (2 species)","tree fern"
"hau","Hibiscus tiliaceus","none"
"hinahina","Heliotropium anomalum var. argentea","heliotrope"
"hō‘awa","Pittosporum (11 species)","none"
"hoi","Dioscorea bulbifera","bitter yam, air potato"
"hōlei","Ochrosia (4 species)","none"
"‘ie‘ie","Freycinetia arborea","none"
"‘iliahi","Santalum (4 species)","sandalwood"
"‘ilie‘e","Plumbago zeylanica","leadwort"
"‘ilima","Sida fallax","none"
"ipu","Lagenaria siceraria","bottle gourd"
"kalia","Elaeocarpus bifidus","none"
