Hawaiian.Name,Scientific.Name,Vernacular.Name,Detail_URL
‘a‘ali‘i,Dodonaea viscosa,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=aalii
a‘e (Sapindus),Sapindus saponaria,soapberry,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ae_S
a‘e (Zanthoxylem),Zanthoxylum (4 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ae_Z
‘ahakea,Bobea (4 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ahakea
‘āheahea,Chenopodium oahuense,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=aheahea
‘ahu‘awa,Cyperus javanicus,sedge,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ahuawa
aiea,Nothocestrum (4 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=aiea
‘aka‘akai,Schoenoplectus lacustris,great bulrush,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akaakai
‘ākala,Rubus (2 species),Hawaiian raspberry,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akala
‘ākia,Wikstroemia (12 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akia
‘akoko,Chamaesyce (16 species),spurge,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akoko
‘aākōlea,Athyrium microphyllum,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akolea
‘ākulikuli,Sesuvium portulacastrum,sea purslane,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=akulikuli
‘āla‘a,Pouteria sandwicensis,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=alaa
‘ala‘ala wai nui,Peperomia (24 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=alaalawainui
alahe‘e,Psydrax odorata,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=alahee
alani,Melicope (47 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=alani
ali‘ipoe,Canna indica,Indian-shot,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=aliipoe
aloalo,Hibiscus (4 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=aloalo
‘ama‘u,Sadleria cyatheoides,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=amau
‘ape,Alocasia macrorrhizos,elephant's ear,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ape
‘auhuhu,Tephrosia purpurea,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=auhuhu
‘awa,Piper methysticum,kava,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=awa
‘awapuhi,Zingiber zerumbet,"shampoo ginger, wild ginger",https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=awapuhi
‘āwikiwiki,Canavalia (6 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=awikiwiki
hala,Pandanus tectorius,screw pine,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hala
hala pepe,Pleomele (6 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hala_pepe
hame,Antidesma (2 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hame
hao,Rauvolfia sandwicensis,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hao
hāpu‘u,Cibotium (2 species),tree fern,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hapuu
hau,Hibiscus tiliaceus,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hau
hinahina,Heliotropium anomalum var. argentea,heliotrope,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hinahina
hō‘awa,Pittosporum (11 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hoawa
hoi,Dioscorea bulbifera,"bitter yam, air potato",https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=hoi
hōlei,Ochrosia (4 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=holei
‘ie‘ie,Freycinetia arborea,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ieie
‘iliahi,Santalum (4 species),sandalwood,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=iliahi
‘ilie‘e,Plumbago zeylanica,leadwort,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=iliee
‘ilima,Sida fallax,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ilima
ipu,Lagenaria siceraria,bottle gourd,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ipu
kalia,Elaeocarpus bifidus,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kalia
kalo,Colocasia esculenta,taro,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kalo
kamani,Calophyllum inophyllum,Alexandrian laurel,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kamani
kauila (Alphitonia),Alphitonia ponderosa,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kauila_A
kauila (Colubrina),Colubrina oppositifolia,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kauila_C
kauna‘oa,Cuscuta sandwichiana,dodder,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kaunaoa
kāwa‘u,Ilex anomala,Hawaiian holly,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kawau
kāwelu,Eragrostis variabilis,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kawelu
kī,Cordyline fruticosa,ti,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ki
kī nehe,Bidens pilosa,"Spanish needle, beggartick",https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ki_nehe
kō,Saccharum officinarum,sugarcane,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=ko
koa,Acacia koa,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=koa
koai‘a,Acacia koaia,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=koaia
koali ‘ai,Ipomoea cairica,ivy-leaved morning glory,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=koali_ai
koali ‘awa,Ipomoea indica,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=koali_awa
kohekohe,Eleocharis (2 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kohekohe
koki‘o,Kokia & Hibiscus (5 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kokio
koki‘o ke‘oke‘o,Hibiscus arnottianus,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kokio_keokeo
kōlea,Myrsine (20 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kolea
kolokolo kuahiwi,Lysimachia (2 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kolokolo_uahiwi
kolomona,Senna gaudichaudii,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kolomona
ko‘oko‘olau,Bidens (19 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kookoolau
kōpiko,Psychotria (11 species),none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kopiko
kou,Cordia subcordata,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kou
"kūkaenēnē,",Coprosma ernodeides,none,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kukaenene
kūkaepua‘a,Digitaria setigera,itchy crabgrass,https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kukaepuaa
kukui,Aleurites moluccana,"candlenut, tung tree",https://data.bishopmuseum.org/ethnobotanydb/ethnobotany.php?b=d&ID=kukui
